Place	District	State/Union
Aadityana	Porbandar	Gujarat
Aambaliyasan	Mahesana	Gujarat
Aantaliya	Navsari	Gujarat
Aarambhada	Jamnagar	Gujarat
Abrama	Valsad	Gujarat
Adalaj	Gandhinagar	Gujarat
Ahmedabad	Ahmadabad	Gujarat
Ahmedabad Cantonment	Ahmadabad	Gujarat
Alang	Bhavnagar	Gujarat
Ambaji	Banas Kantha	Gujarat
Amreli	Amreli	Gujarat
Anand	Anand	Gujarat
Andada	Bharuch	Gujarat
Anjar	Kachchh	Gujarat
Anklav	Anand	Gujarat
Anklesvar	Bharuch	Gujarat
Anklesvar INA	Bharuch	Gujarat
Atul	Valsad	Gujarat
Bagasara	Amreli	Gujarat
Bajva	Vadodara	Gujarat
Balasinor	Kheda	Gujarat
Bantwa	Junagadh	Gujarat
Bardoli	Surat	Gujarat
Bavla	Ahmadabad	Gujarat
Bedi	Jamnagar	Gujarat
Bhachau	Kachchh	Gujarat
Bhanvad	Jamnagar	Gujarat
Bharuch	Bharuch	Gujarat
Bharuch INA	Bharuch	Gujarat
Bhavnagar	Bhavnagar	Gujarat
Bhayavadar	Rajkot	Gujarat
Bhuj	Kachchh	Gujarat
Bilimora	Navsari	Gujarat
Bodeli	Vadodara	Gujarat
Bopal	Ahmadabad	Gujarat
Boriavi	Anand	Gujarat
Borsad	Anand	Gujarat
Botad	Bhavnagar	Gujarat
Chaklasi	Kheda	Gujarat
Chala	Valsad	Gujarat
Chalala	Amreli	Gujarat
Chalthan	Surat	Gujarat
Chanasma	Patan	Gujarat
Chandkheda	Gandhinagar	Gujarat
Chandlodiya	Ahmadabad	Gujarat
Chanod	Valsad	Gujarat
Chhaprabhatha	Surat	Gujarat
Chhatral INA	Gandhinagar	Gujarat
Chhaya	Porbandar	Gujarat
Chhota Udaipur	Vadodara	Gujarat
Chikhli	Navsari	Gujarat
Chiloda(Naroda)	Gandhinagar	Gujarat
Chorvad	Junagadh	Gujarat
Dabhoi	Vadodara	Gujarat
Dahegam	Gandhinagar	Gujarat
Dakor	Kheda	Gujarat
Damnagar	Amreli	Gujarat
Deesa	Banas Kantha	Gujarat
Devgadbaria	Dohad	Gujarat
Devsar	Navsari	Gujarat
Dhandhuka	Ahmadabad	Gujarat
Dhanera	Banas Kantha	Gujarat
Dharampur	Valsad	Gujarat
Dhola	Bhavnagar	Gujarat
Dholka	Ahmadabad	Gujarat
Dhoraji	Rajkot	Gujarat
Dhrangadhra	Surendranagar	Gujarat
Dhrol	Jamnagar	Gujarat
Digvijaygram	Jamnagar	Gujarat
Dohad	Dohad	Gujarat
Dungra	Valsad	Gujarat
Dwarka	Jamnagar	Gujarat
Freelandgunj	Dohad	Gujarat
Gadhada	Bhavnagar	Gujarat
Gandevi	Navsari	Gujarat
Gandhidham	Kachchh	Gujarat
Gandhinagar	Gandhinagar	Gujarat
Gariadhar	Bhavnagar	Gujarat
Ghatlodiya	Ahmadabad	Gujarat
Ghogha	Bhavnagar	Gujarat
Godhra	Panch Mahals	Gujarat
Gondal	Rajkot	Gujarat
Gota	Ahmadabad	Gujarat
GSFC Complex INA	Vadodara	Gujarat
Hajira INA	Surat	Gujarat
Halol	Panch Mahals	Gujarat
Halvad	Surendranagar	Gujarat
Harij	Patan	Gujarat
Himatnagar	Sabar Kantha	Gujarat
Ichchhapor	Surat	Gujarat
Idar	Sabar Kantha	Gujarat
Jafrabad	Amreli	Gujarat
Jalalpore	Navsari	Gujarat
Jam Jodhpur	Jamnagar	Gujarat
Jambusar	Bharuch	Gujarat
Jamnagar	Jamnagar	Gujarat
Jasdan	Rajkot	Gujarat
Jawaharnagar (Gujarat Refinery)	Vadodara	Gujarat
Jetpur Navagadh	Rajkot	Gujarat
Jodhpur	Ahmadabad	Gujarat
Joshipura	Junagadh	Gujarat
Junagadh	Junagadh	Gujarat
Kadi	Mahesana	Gujarat
Kadodara	Surat	Gujarat
Kalavad	Jamnagar	Gujarat
Kali	Ahmadabad	Gujarat
Kalol	Gandhinagar	Gujarat
Kalol	Panch Mahals	Gujarat
Kalol INA	Gandhinagar	Gujarat
Kalol INA	Panch Mahals	Gujarat
Kandla	Kachchh	Gujarat
Kanodar	Banas Kantha	Gujarat
Kapadvanj	Kheda	Gujarat
Karachiya	Vadodara	Gujarat
Karamsad	Anand	Gujarat
Karjan	Vadodara	Gujarat
Katpar	Bhavnagar	Gujarat
Keshod	Junagadh	Gujarat
Kevadiya	Narmada	Gujarat
Khambhalia	Jamnagar	Gujarat
Khambhat	Anand	Gujarat
Kharaghoda	Surendranagar	Gujarat
Kheda	Kheda	Gujarat
Khedbrahma	Sabar Kantha	Gujarat
Kheralu	Mahesana	Gujarat
Kodinar	Junagadh	Gujarat
Kosamba	Surat	Gujarat
Kutiyana	Porbandar	Gujarat
Lambha	Ahmadabad	Gujarat
Lathi	Amreli	Gujarat
Limbdi	Surendranagar	Gujarat
Limla	Surat	Gujarat
Lunawada	Panch Mahals	Gujarat
Mahemdavad	Kheda	Gujarat
Mahesana	Mahesana	Gujarat
Mahudha	Kheda	Gujarat
Mahuva	Bhavnagar	Gujarat
Mahuvar	Navsari	Gujarat
Makarba	Ahmadabad	Gujarat
Maktampur	Bharuch	Gujarat
Malpur	Sabar Kantha	Gujarat
Manavadar	Junagadh	Gujarat
Mandvi	Kachchh	Gujarat
Mangrol	Junagadh	Gujarat
Mansa	Gandhinagar	Gujarat
Meghraj	Sabar Kantha	Gujarat
Memnagar	Ahmadabad	Gujarat
Mithapur	Jamnagar	Gujarat
Modasa	Sabar Kantha	Gujarat
Mogravadi	Valsad	Gujarat
Morvi	Rajkot	Gujarat
Motera	Gandhinagar	Gujarat
Mundra	Kachchh	Gujarat
Nadiad	Kheda	Gujarat
Nanakvada	Valsad	Gujarat
Nandej	Ahmadabad	Gujarat
Nandesari	Vadodara	Gujarat
Nandesari INA	Vadodara	Gujarat
NavagamGhed	Jamnagar	Gujarat
Navsari	Navsari	Gujarat
Ode	Anand	Gujarat
Okha port	Jamnagar	Gujarat
Paddhari	Rajkot	Gujarat
Padra	Vadodara	Gujarat
Palanpur	Banas Kantha	Gujarat
Palej	Bharuch	Gujarat
Palitana	Bhavnagar	Gujarat
Pardi	Valsad	Gujarat
Parnera	Valsad	Gujarat
Parvat	Surat	Gujarat
Patan	Patan	Gujarat
Petlad	Anand	Gujarat
Petro Chemical Complex INA	Vadodara	Gujarat
Porbandar	Porbandar	Gujarat
Prantij	Sabar Kantha	Gujarat
Radhanpur	Patan	Gujarat
Rajkot	Rajkot	Gujarat
Rajpipla	Narmada	Gujarat
Rajula	Amreli	Gujarat
Ramol	Ahmadabad	Gujarat
Ranavav	Porbandar	Gujarat
Ranip	Ahmadabad	Gujarat
Ranoli	Vadodara	Gujarat
Rapar	Kachchh	Gujarat
Sachin	Surat	Gujarat
Sachin INA	Surat	Gujarat
Salaya	Jamnagar	Gujarat
Sanand	Ahmadabad	Gujarat
Santrampur	Panch Mahals	Gujarat
Sarigam INA	Valsad	Gujarat
Sarkhej-Okaf	Ahmadabad	Gujarat
Savarkundla	Amreli	Gujarat
Sayan	Surat	Gujarat
Sidhpur	Patan	Gujarat
Sihor	Bhavnagar	Gujarat
Sikka	Jamnagar	Gujarat
Singarva	Ahmadabad	Gujarat
Songadh	Surat	Gujarat
Surajkaradi	Jamnagar	Gujarat
Surat	Surat	Gujarat
Surendranagar Dudhrej	Surendranagar	Gujarat
Talaja	Bhavnagar	Gujarat
Talod	Sabar Kantha	Gujarat
Tarsali	Vadodara	Gujarat
Thaltej	Ahmadabad	Gujarat
Thangadh	Surendranagar	Gujarat
Tharad	Banas Kantha	Gujarat
Ukai	Surat	Gujarat
Umbergaon	Valsad	Gujarat
Umbergaon INA	Valsad	Gujarat
Umreth	Anand	Gujarat
Un	Surat	Gujarat
Una	Junagadh	Gujarat
Unjha	Mahesana	Gujarat
Upleta	Rajkot	Gujarat
Utran	Surat	Gujarat
Vadia	Narmada	Gujarat
Vadnagar	Mahesana	Gujarat
Vadodara	Vadodara	Gujarat
Vaghodia INA	Vadodara	Gujarat
Vallabh Vidhyanagar	Anand	Gujarat
Valsad	Valsad	Gujarat
Valsad INA	Valsad	Gujarat
Vanthali	Junagadh	Gujarat
Vapi	Valsad	Gujarat
Vapi INA	Valsad	Gujarat
Vartej	Bhavnagar	Gujarat
Vasna Borsad INA	Anand	Gujarat
Vastral	Ahmadabad	Gujarat
Vastrapur	Ahmadabad	Gujarat
Vejalpur	Ahmadabad	Gujarat
Veraval	Junagadh	Gujarat
Vijalpor	Navsari	Gujarat
Vijapur	Mahesana	Gujarat
Viramgam	Ahmadabad	Gujarat
Visavadar	Junagadh	Gujarat
Visnagar	Mahesana	Gujarat
Vitthal Udyognagar INA	Anand	Gujarat
Vyara	Surat	Gujarat
Wadhwan	Surendranagar	Gujarat
Wankaner	Rajkot	Gujarat
Zalod	Dohad	Gujarat
Ambala	Ambala	Haryana
Ambala Cantt.	Ambala	Haryana
Ambala Sadar	Ambala	Haryana
Asan  Khurd	Panipat	Haryana
Assandh	Karnal	Haryana
Ateli	Mahendragarh	Haryana
Babiyal	Ambala	Haryana
Bahadurgarh	Jhajjar	Haryana
Barwala	Hisar	Haryana
Bawal	Rewari	Haryana
Bawani Khera	Bhiwani	Haryana
Beri	Jhajjar	Haryana
Bhiwani	Bhiwani	Haryana
Bilaspur	Yamunanagar	Haryana
Buria	Yamunanagar	Haryana
Charkhi Dadri	Bhiwani	Haryana
Cheeka	Kaithal	Haryana
Chhachhrauli	Yamunanagar	Haryana
Dharuhera	Rewari	Haryana
Dundahera	Gurgaon	Haryana
Ellenabad	Sirsa	Haryana
Farakhpur	Yamunanagar	Haryana
Faridabad	Faridabad	Haryana
Farrukhnagar	Gurgaon	Haryana
Fatehabad	Fatehabad	Haryana
Ferozepur Jhirka	Gurgaon	Haryana
Ganaur	Sonipat	Haryana
Gharaunda	Karnal	Haryana
Gohana	Sonipat	Haryana
Gurgaon	Gurgaon	Haryana
Gurgaon Rural	Gurgaon	Haryana
Haileymandi	Gurgaon	Haryana
Hansi	Hisar	Haryana
Hassanpur	Faridabad	Haryana
Hathin	Faridabad	Haryana
Hisar	Hisar	Haryana
Hodal	Faridabad	Haryana
Indri	Karnal	Haryana
Jagadhri	Yamunanagar	Haryana
Jakhal Mandi	Fatehabad	Haryana
Jhajjar	Jhajjar	Haryana
Jind	Jind	Haryana
Julana	Jind	Haryana
Kaithal	Kaithal	Haryana
Kalan Wali	Sirsa	Haryana
Kalanaur	Rohtak	Haryana
Kalayat	Kaithal	Haryana
Kalka	Panchkula	Haryana
Kanina	Mahendragarh	Haryana
Kansepur	Yamunanagar	Haryana
Kardhan	Ambala	Haryana
Karnal	Karnal	Haryana
Kharkhoda	Sonipat	Haryana
Ladrawan	Jhajjar	Haryana
Ladwa	Kurukshetra	Haryana
Loharu	Bhiwani	Haryana
Maham	Rohtak	Haryana
Mahendragarh	Mahendragarh	Haryana
Mandi Dabwali	Sirsa	Haryana
Mustafabad	Yamunanagar	Haryana
Nagai Chaudhry	Mahendragarh	Haryana
Naraingarh	Ambala	Haryana
Narnaul	Mahendragarh	Haryana
Narnaund	Hisar	Haryana
Narwana	Jind	Haryana
Nilokheri	Karnal	Haryana
Nuh	Gurgaon	Haryana
Palwal	Faridabad	Haryana
Panchkula Urban Estate	Panchkula	Haryana
Panipat	Panipat	Haryana
Panipat Taraf Ansar	Panipat	Haryana
Panipat Taraf Rajputan	Panipat	Haryana
Panipt Taraf Makhdum Zadgan	Panipat	Haryana
Pataudi	Gurgaon	Haryana
Pehowa	Kurukshetra	Haryana
Pinjore	Panchkula	Haryana
Punahana	Gurgaon	Haryana
Pundri	Kaithal	Haryana
Radaur	Yamunanagar	Haryana
Raipur Rani	Panchkula	Haryana
Rania	Sirsa	Haryana
Ratia	Fatehabad	Haryana
Rewari	Rewari	Haryana
Rewari (Rural)	Rewari	Haryana
Rohtak	Rohtak	Haryana
Sadaura	Yamunanagar	Haryana
Safidon	Jind	Haryana
Samalkha	Panipat	Haryana
Sankhol	Jhajjar	Haryana
Sasauli	Yamunanagar	Haryana
Shahbad	Kurukshetra	Haryana
Sirsa	Sirsa	Haryana
Siwani	Bhiwani	Haryana
Sohna	Gurgaon	Haryana
Sonipat	Sonipat	Haryana
Sukhrali	Gurgaon	Haryana
Taoru	Gurgaon	Haryana
Taraori	Karnal	Haryana
Thanesar	Kurukshetra	Haryana
Tilpat	Faridabad	Haryana
Tohana	Fatehabad	Haryana
Tosham	Bhiwani	Haryana
Uchana	Jind	Haryana
Uklanamandi	Hisar	Haryana
Uncha Siwana	Karnal	Haryana
Yamunanagar	Yamunanagar	Haryana
Arki	Solan	Himachal Pradesh
Baddi	Solan	Himachal Pradesh
Bakloh	Chamba	Himachal Pradesh
Banjar	Kullu	Himachal Pradesh
Bhota	Hamirpur	Himachal Pradesh
Bhuntar	Kullu	Himachal Pradesh
Bilaspur	Bilaspur	Himachal Pradesh
Chamba	Chamba	Himachal Pradesh
Chaupal	Shimla	Himachal Pradesh
Chuari Khas	Chamba	Himachal Pradesh
Dagshai	Solan	Himachal Pradesh
Dalhousie	Chamba	Himachal Pradesh
Dalhousie	Chamba	Himachal Pradesh
Daulatpur	Una	Himachal Pradesh
Dera Gopipur	Kangra	Himachal Pradesh
Dharmsala	Kangra	Himachal Pradesh
Gagret	Una	Himachal Pradesh
Ghumarwin	Bilaspur	Himachal Pradesh
Hamirpur	Hamirpur	Himachal Pradesh
Jawalamukhi	Kangra	Himachal Pradesh
Jogindarnagar	Mandi	Himachal Pradesh
Jubbal	Shimla	Himachal Pradesh
Jutogh	Shimla	Himachal Pradesh
Kangra	Kangra	Himachal Pradesh
Kasauli	Solan	Himachal Pradesh
Kotkhai	Shimla	Himachal Pradesh
Kullu	Kullu	Himachal Pradesh
Manali	Kullu	Himachal Pradesh
Mandi	Mandi	Himachal Pradesh
Mant Khas	Kangra	Himachal Pradesh
Mehatpur Basdehra	Una	Himachal Pradesh
Nadaun	Hamirpur	Himachal Pradesh
Nagrota Bagwan	Kangra	Himachal Pradesh
Nahan	Sirmaur	Himachal Pradesh
Naina Devi	Bilaspur	Himachal Pradesh
Nalagarh	Solan	Himachal Pradesh
Narkanda	Shimla	Himachal Pradesh
Nurpur	Kangra	Himachal Pradesh
Palampur	Kangra	Himachal Pradesh
Paonta Sahib	Sirmaur	Himachal Pradesh
Parwanoo	Solan	Himachal Pradesh
Rajgarh	Sirmaur	Himachal Pradesh
Rampur	Shimla	Himachal Pradesh
Rawalsar	Mandi	Himachal Pradesh
Rohru	Shimla	Himachal Pradesh
Sabathu	Solan	Himachal Pradesh
Santokhgarh	Una	Himachal Pradesh
Sarkaghat	Mandi	Himachal Pradesh
Seoni	Shimla	Himachal Pradesh
Shimla	Shimla	Himachal Pradesh
Solan	Solan	Himachal Pradesh
Sundarnagar	Mandi	Himachal Pradesh
Talai	Bilaspur	Himachal Pradesh
Theog	Shimla	Himachal Pradesh
Tira Sujanpur	Hamirpur	Himachal Pradesh
Una	Una	Himachal Pradesh
Yol	Kangra	Himachal Pradesh
Achabal	Anantnag	Jammu & Kashmir
Akhnoor	Jammu	Jammu & Kashmir
Anantnag	Anantnag	Jammu & Kashmir
Arnia	Jammu	Jammu & Kashmir
Awantipora	Pulwama	Jammu & Kashmir
Badami Bagh	Srinagar	Jammu & Kashmir
Badgam	Badgam	Jammu & Kashmir
Bandipore	Baramula	Jammu & Kashmir
Banihal	Doda	Jammu & Kashmir
Baramula	Baramula	Jammu & Kashmir
Bari Brahmana	Jammu	Jammu & Kashmir
Bashohli	Kathua	Jammu & Kashmir
Batote	Doda	Jammu & Kashmir
Beerwah	Badgam	Jammu & Kashmir
Bhaderwah	Doda	Jammu & Kashmir
Bijbehara	Anantnag	Jammu & Kashmir
Billawar	Kathua	Jammu & Kashmir
Bishna	Jammu	Jammu & Kashmir
Charari Sharief	Badgam	Jammu & Kashmir
Chenani	Udhampur	Jammu & Kashmir
Doda	Doda	Jammu & Kashmir
Duru-Verinag	Anantnag	Jammu & Kashmir
Ganderbal	Srinagar	Jammu & Kashmir
Gho Manhasan	Jammu	Jammu & Kashmir
Gorah Salathian	Jammu	Jammu & Kashmir
Gulmarg	Baramula	Jammu & Kashmir
Hajan	Baramula	Jammu & Kashmir
Handwara	Kupwara	Jammu & Kashmir
Hiranagar	Kathua	Jammu & Kashmir
Jammu	Jammu	Jammu & Kashmir
Jammu Cantonment	Jammu	Jammu & Kashmir
Jourian	Jammu	Jammu & Kashmir
Kargil	Kargil	Jammu & Kashmir
Kathua	Kathua	Jammu & Kashmir
Katra	Udhampur	Jammu & Kashmir
Khan Sahib	Badgam	Jammu & Kashmir
Khour	Jammu	Jammu & Kashmir
Khrew	Pulwama	Jammu & Kashmir
Kishtwar	Doda	Jammu & Kashmir
Kud	Udhampur	Jammu & Kashmir
Kukernag	Anantnag	Jammu & Kashmir
Kulgam	Anantnag	Jammu & Kashmir
Kunzer	Baramula	Jammu & Kashmir
Kupwara	Kupwara	Jammu & Kashmir
Lakhenpur	Kathua	Jammu & Kashmir
Leh	Leh (Ladakh)	Jammu & Kashmir
Magam	Badgam	Jammu & Kashmir
Mattan	Anantnag	Jammu & Kashmir
Nowshehra	Rajauri	Jammu & Kashmir
Pahalgam	Anantnag	Jammu & Kashmir
Pampore	Pulwama	Jammu & Kashmir
Parole	Kathua	Jammu & Kashmir
Pattan	Baramula	Jammu & Kashmir
Pulwama	Pulwama	Jammu & Kashmir
Punch	Punch	Jammu & Kashmir
Qazigund	Anantnag	Jammu & Kashmir
Rajauri	Rajauri	Jammu & Kashmir
Ram Garh	Jammu	Jammu & Kashmir
Ramban	Doda	Jammu & Kashmir
Ramnagar	Udhampur	Jammu & Kashmir
Ranbir Singh Pora	Jammu	Jammu & Kashmir
Reasi	Udhampur	Jammu & Kashmir
Rehambal	Udhampur	Jammu & Kashmir
Samba	Jammu	Jammu & Kashmir
Shupiyan	Pulwama	Jammu & Kashmir
Sopore	Baramula	Jammu & Kashmir
Srinagar	Srinagar	Jammu & Kashmir
Sumbal	Baramula	Jammu & Kashmir
Sunderbani	Rajauri	Jammu & Kashmir
Talwara	Udhampur	Jammu & Kashmir
Thanamandi	Rajauri	Jammu & Kashmir
Tral	Pulwama	Jammu & Kashmir
Udhampur	Udhampur	Jammu & Kashmir
Uri	Baramula	Jammu & Kashmir
Vijay Pur	Jammu	Jammu & Kashmir
Adityapur	Pashchimi Singhbhum	Jharkhand
Amlabad	Bokaro	Jharkhand
Angarpathar	Dhanbad	Jharkhand
Ara	Hazaribag	Jharkhand
Babua Kalan	Dhanbad	Jharkhand
Bagbera	Purbi Singhbhum	Jharkhand
Baliari	Dhanbad	Jharkhand
Balkundra	Hazaribag	Jharkhand
Bandhgora	Bokaro	Jharkhand
Barajamda	Pashchimi Singhbhum	Jharkhand
Barhi	Hazaribag	Jharkhand
Barkakana	Hazaribag	Jharkhand
Barughutu	Hazaribag	Jharkhand
Barwadih	Palamu	Jharkhand
Basaria	Dhanbad	Jharkhand
Basukinath	Dumka	Jharkhand
Bermo	Bokaro	Jharkhand
Bhagatdih	Dhanbad	Jharkhand
Bhojudih	Bokaro	Jharkhand
Bhowrah	Dhanbad	Jharkhand
Bhuli	Dhanbad	Jharkhand
Bokaro	Bokaro	Jharkhand
Bokaro Steel City	Bokaro	Jharkhand
Bundu	Ranchi	Jharkhand
Chaibasa	Pashchimi Singhbhum	Jharkhand
Chakradharpur	Pashchimi Singhbhum	Jharkhand
Chakulia	Purbi Singhbhum	Jharkhand
Chandaur	Dhanbad	Jharkhand
Chandil	Pashchimi Singhbhum	Jharkhand
Chandrapura	Bokaro	Jharkhand
Chas	Bokaro	Jharkhand
Chatra	Chatra	Jharkhand
Chhatatanr	Dhanbad	Jharkhand
Chhota Gobindpur	Purbi Singhbhum	Jharkhand
Chhotaputki	Dhanbad	Jharkhand
Chiria	Pashchimi Singhbhum	Jharkhand
Chirkunda	Dhanbad	Jharkhand
Churi	Ranchi	Jharkhand
Daltonganj	Palamu	Jharkhand
Danguwapasi	Pashchimi Singhbhum	Jharkhand
Dari	Hazaribag	Jharkhand
Deoghar	Deoghar	Jharkhand
Deorikalan	Palamu	Jharkhand
Dhanbad	Dhanbad	Jharkhand
Dhanwar	Giridih	Jharkhand
Dhaunsar	Dhanbad	Jharkhand
Dugda	Bokaro	Jharkhand
Dumarkunda	Dhanbad	Jharkhand
Dumka	Dumka	Jharkhand
Egarkunr	Dhanbad	Jharkhand
Gadhra	Purbi Singhbhum	Jharkhand
Garhwa	Garhwa	Jharkhand
Ghatshila	Purbi Singhbhum	Jharkhand
Ghorabandha	Purbi Singhbhum	Jharkhand
Gidi	Hazaribag	Jharkhand
Giridih	Giridih	Jharkhand
Gobindpur	Dhanbad	Jharkhand
Godda	Godda	Jharkhand
Godhar	Dhanbad	Jharkhand
Gomoh	Dhanbad	Jharkhand
Gua	Pashchimi Singhbhum	Jharkhand
Gumia	Bokaro	Jharkhand
Gumla	Lohardaga	Jharkhand
Haludbani	Purbi Singhbhum	Jharkhand
Hazaribag	Hazaribag	Jharkhand
Hesla	Hazaribag	Jharkhand
Hussainabad	Palamu	Jharkhand
Isri	Giridih	Jharkhand
Jadugora	Purbi Singhbhum	Jharkhand
Jamadoba	Dhanbad	Jharkhand
Jamshedpur	Purbi Singhbhum	Jharkhand
Jamtara	Dumka	Jharkhand
Jaridih Bazar	Bokaro	Jharkhand
Jasidih	Deoghar	Jharkhand
Jena	Bokaro	Jharkhand
Jharia	Dhanbad	Jharkhand
Jharia Khas	Dhanbad	Jharkhand
Jhinkpani	Pashchimi Singhbhum	Jharkhand
Jhumri Tilaiya	Kodarma	Jharkhand
Jorapokhar	Dhanbad	Jharkhand
Jugsalai	Purbi Singhbhum	Jharkhand
Kailudih	Dhanbad	Jharkhand
Kalikapur	Pashchimi Singhbhum	Jharkhand
Kandra	Pashchimi Singhbhum	Jharkhand
Kanke	Ranchi	Jharkhand
Katras	Dhanbad	Jharkhand
Kedla	Hazaribag	Jharkhand
Kenduadih	Dhanbad	Jharkhand
Kharkhari	Dhanbad	Jharkhand
Kharsawan	Pashchimi Singhbhum	Jharkhand
Khelari	Ranchi	Jharkhand
Khunti	Ranchi	Jharkhand
Kiriburu	Pashchimi Singhbhum	Jharkhand
Kodarma	Kodarma	Jharkhand
Kuju	Hazaribag	Jharkhand
Kurpania	Bokaro	Jharkhand
Kustai	Dhanbad	Jharkhand
Lakarka	Dhanbad	Jharkhand
Lapanga	Hazaribag	Jharkhand
Latehar	Palamu	Jharkhand
Lohardaga	Lohardaga	Jharkhand
Loyabad	Dhanbad	Jharkhand
Madhupur	Deoghar	Jharkhand
Maithon	Dhanbad	Jharkhand
Malkera	Dhanbad	Jharkhand
Mango	Purbi Singhbhum	Jharkhand
Marma	Dhanbad	Jharkhand
Meghahatuburu Forest village	Pashchimi Singhbhum	Jharkhand
Mera	Dhanbad	Jharkhand
Meru	Hazaribag	Jharkhand
Mihijam	Dumka	Jharkhand
Mugma	Dhanbad	Jharkhand
Muri	Ranchi	Jharkhand
Musabani	Purbi Singhbhum	Jharkhand
Nagri Kalan	Dhanbad	Jharkhand
Nirsa	Dhanbad	Jharkhand
Noamundi	Pashchimi Singhbhum	Jharkhand
Okni NO.II	Hazaribag	Jharkhand
Orla	Hazaribag	Jharkhand
Pakaur	Pakaur	Jharkhand
Palawa	Hazaribag	Jharkhand
Panchet	Dhanbad	Jharkhand
Paratdih	Giridih	Jharkhand
Pathardih	Dhanbad	Jharkhand
Patratu	Hazaribag	Jharkhand
Phusro	Bokaro	Jharkhand
Pondar Kanali	Dhanbad	Jharkhand
Rajmahal	Sahibganj	Jharkhand
Ramgarh Cantonment	Hazaribag	Jharkhand
Ranchi	Ranchi	Jharkhand
Religara alias Pachhiari	Hazaribag	Jharkhand
Rohraband	Dhanbad	Jharkhand
Sahibganj	Sahibganj	Jharkhand
Sahnidih	Dhanbad	Jharkhand
Saraidhela	Dhanbad	Jharkhand
Sarjamda	Purbi Singhbhum	Jharkhand
Saunda	Hazaribag	Jharkhand
Seraikela	Pashchimi Singhbhum	Jharkhand
Sewai	Hazaribag	Jharkhand
Sijhua	Bokaro	Jharkhand
Sijua	Dhanbad	Jharkhand
Simdega	Gumla	Jharkhand
Sindri	Dhanbad	Jharkhand
Sinduria	Garhwa	Jharkhand
Sini	Pashchimi Singhbhum	Jharkhand
Sirka	Hazaribag	Jharkhand
Siuliban	Dhanbad	Jharkhand
Tati	Ranchi	Jharkhand
Tenu Dam-cum- Kathhara	Bokaro	Jharkhand
Tisra	Dhanbad	Jharkhand
Topa	Hazaribag	Jharkhand
Topchanchi	Dhanbad	Jharkhand
Adityapatna	Tumkur	Karnataka
Adyar	Dakshina Kannada	Karnataka
Afzalpur	Gulbarga	Karnataka
Aland	Gulbarga	Karnataka
Alnavar	Dharwad	Karnataka
Alur	Hassan	Karnataka
Ambikanagara	Uttara Kannada	Karnataka
Anekal	Bangalore	Karnataka
Ankola	Uttara Kannada	Karnataka
Annigeri	Dharwad	Karnataka
Arkalgud	Hassan	Karnataka
Arsikere	Hassan	Karnataka
Athni	Belgaum	Karnataka
Aurad	Bidar	Karnataka
Badami	Bagalkot	Karnataka
Bagalkot	Bagalkot	Karnataka
Bagepalli	Kolar	Karnataka
Bail Hongal	Belgaum	Karnataka
Bajala	Dakshina Kannada	Karnataka
Bajpe	Dakshina Kannada	Karnataka
Bangalore	Bangalore	Karnataka
Bangarapet	Kolar	Karnataka
Bankapura	Haveri	Karnataka
Bannur	Mysore	Karnataka
Bantwal	Dakshina Kannada	Karnataka
Basavakalyan	Bidar	Karnataka
Basavana Bagevadi	Bijapur	Karnataka
Belgaum	Belgaum	Karnataka
Belgaum Cantonment	Belgaum	Karnataka
Bellary	Bellary	Karnataka
Beltangadi	Dakshina Kannada	Karnataka
Belur	Hassan	Karnataka
Belvata	Mysore	Karnataka
Bhadravati	Shimoga	Karnataka
Bhalki	Bidar	Karnataka
Bhatkal	Uttara Kannada	Karnataka
Bhimarayanagudi	Gulbarga	Karnataka
Bhogadi	Mysore	Karnataka
Bidar	Bidar	Karnataka
Bijapur	Bijapur	Karnataka
Bilgi	Bagalkot	Karnataka
Birur	Chikmagalur	Karnataka
Bommanahalli	Bangalore	Karnataka
Bommasandra	Bangalore	Karnataka
Byadgi	Haveri	Karnataka
Byatarayanapura	Bangalore	Karnataka
Challakere	Chitradurga	Karnataka
Chamrajnagar	Chamarajanagar	Karnataka
Channagiri	Davanagere	Karnataka
Channapatna	Bangalore Rural	Karnataka
Channarayapattana	Hassan	Karnataka
Chik Ballapur	Kolar	Karnataka
Chikmagalur	Chikmagalur	Karnataka
Chiknayakanhalli	Tumkur	Karnataka
Chikodi	Belgaum	Karnataka
Chincholi	Gulbarga	Karnataka
Chintamani	Kolar	Karnataka
Chitapur	Gulbarga	Karnataka
Chitgoppa	Bidar	Karnataka
Chitradurga	Chitradurga	Karnataka
Dandeli	Uttara Kannada	Karnataka
Dargajogihalli	Bangalore Rural	Karnataka
Dasarahalli	Bangalore	Karnataka
Davanagere	Davanagere	Karnataka
Devadurga	Raichur	Karnataka
Devanhalli	Bangalore Rural	Karnataka
Dod Ballapur	Bangalore Rural	Karnataka
Donimalai Township	Bellary	Karnataka
Gadag-Betigeri	Gadag	Karnataka
Gajendragarh	Gadag	Karnataka
Gangawati	Koppal	Karnataka
Gauribidanur	Kolar	Karnataka
Gokak	Belgaum	Karnataka
Gokak Falls	Belgaum	Karnataka
Gonikoppal	Kodagu	Karnataka
Gottikere	Bangalore	Karnataka
Gubbi	Tumkur	Karnataka
Gudibanda	Kolar	Karnataka
Gulbarga	Gulbarga	Karnataka
Guledgudda	Bagalkot	Karnataka
